,station_id,station_name,year,snow,t_mean,lon,lat
0,249180010,PSZCZYNA,2001,18,-5.8,18.916667,50.0
1,249180130,CIESZYN,2001,24,-1.6,18.633333,49.75
2,249180160,BRENNA,2001,39,-3.7,18.871667,49.754167
3,249180230,WISŁA,2001,70,-7.0,18.866667,49.65
4,249180260,ISTEBNA-KUBALONKA,2001,97,-8.7,18.9,49.6
5,249190090,INWAŁD,2001,38,-1.7,19.433333,49.883333
6,249190130,MIĘDZYBRODZIE BIALSKIE,2001,46,-1.6,19.2,49.8
7,249190190,MAKÓW PODHALAŃSKI,2001,45,-2.7,19.683333,49.733333
8,249190330,NOWY DWÓR,2001,43,-5.6,19.166667,49.65
9,249190350,ZAWOJA,2001,65,-3.5,19.516667,49.616667
10,249190370,RABKA,2001,41,-3.2,19.966667,49.616667
11,249190480,LALIKI,2001,50,-7.6,19.016667,49.55
12,249190520,OBIDOWA,2001,60,-7.0,19.966667,49.55
13,249190560,JABŁONKA,2001,32,-7.1,19.7,49.466667
14,249190680,HALA ORNAK,2001,86,-4.8,19.866667,49.233333
15,249200020,ŁAZY,2001,14,-0.2,20.5,49.966667
16,249200070,DOBCZYCE,2001,18,-1.7,20.066667,49.883333
17,249200130,JASTRZĘBIA,2001,28,-5.3,20.9,49.783333
18,249200180,LIMANOWA,2001,15,-0.2,20.433333,49.683333
19,249200240,PTASZKOWA,2001,31,-3.8,20.883333,49.6
20,249200260,ŁĄCKO,2001,15,-4.3,20.439444,49.559444
21,249200320,ŁOPUSZNA,2001,31,-7.9,20.133333,49.483333
22,249200360,MIZERNA,2001,25,-6.6,20.283333,49.466667
23,249200370,KROŚCIENKO,2001,25,-5.9,20.433333,49.45
24,249200410,PIWNICZNA,2001,31,-5.8,20.7,49.433333
25,249200420,NIEDZICA,2001,19,-9.7,20.316667,49.416667
26,249200470,KRYNICA,2001,50,-9.1,20.966667,49.416667
27,249200480,BUKOWINA TATRZAŃSKA,2001,65,-5.4,20.116667,49.35
28,249200490,MUSZYNA,2001,33,-7.6,20.883333,49.35
29,249200510,PORONIN,2001,42,-2.5,20.033333,49.333333
30,249200540,HALA GĄSIENICOWA,2001,92,-6.7,20.005833,49.244167
31,249200550,DOLINA PIĘCIU STAWÓW,2001,100,-10.5,20.05,49.216667
32,249210070,BIECZ-GRUDNA,2001,30,-7.9,21.25,49.733333
33,249210140,DUKLA,2001,27,-8.2,21.683333,49.566667
34,249210230,WYSOWA,2001,58,-12.8,21.183333,49.433333
35,249210240,BARWINEK,2001,49,-14.4,21.683333,49.433333
36,249220040,DYNÓW,2001,36,-6.6,22.233333,49.833333
37,249220080,SANOK-TREPCZA,2001,27,-6.1,22.183333,49.583333
38,249220150,SOLINA-JAWOR,2001,41,-6.4,22.466667,49.4
39,249220170,BALIGRÓD-MCHAWA,2001,32,-6.8,22.283333,49.35
40,249220180,KOMAŃCZA,2001,32,-9.1,22.066667,49.333333
41,249220210,TERKA,2001,49,-7.5,22.433333,49.3
42,249220280,STUPOSIANY,2001,43,-8.2,22.683333,49.183333
43,250140030,BOGATYNIA,2001,10,-1.3,14.983333,50.9
44,250150090,ŚWIERADÓW-ZDRÓJ,2001,65,-1.8,15.334718,50.909222
45,250150150,SZKLARSKA PORĘBA,2001,92,-2.9,15.533333,50.833333
46,250150170,JAKUSZYCE,2001,113,-8.2,15.45,50.816667
47,250150220,KARPACZ,2001,39,-1.6,15.783333,50.783333
48,250150250,PAPROTKI,2001,30,-2.6,15.95,50.733333
49,250160090,PSZENNO,2001,4,1.0,16.55,50.85
50,250160130,SZCZAWNO-ZDRÓJ,2001,8,-1.5,16.233333,50.8
51,250160360,TARNÓW,2001,10,-0.5,20.984444,50.03
52,250160480,SŁOSZÓW,2001,40,-2.7,16.379722,50.41
53,250160520,LĄDEK-ZDRÓJ,2001,30,-0.4,16.883333,50.35
54,250160590,DŁUGOPOLE-ZDRÓJ,2001,76,-2.7,16.633333,50.25
55,250160610,BOLESŁAWÓW,2001,30,-3.4,16.883333,50.25
56,250170110,DOBROGOSZCZ,2001,1,-0.8,17.016667,50.766667
57,250170140,GRODKÓW,2001,9,1.7,17.4,50.683333
58,250170240,KORFANTÓW,2001,5,2.5,17.6,50.483333
59,250170250,OTMUCHÓW,2001,10,1.6,17.166667,50.466667
60,250170330,GŁUCHOŁAZY,2001,25,1.6,17.383333,50.3
61,250170390,GŁUBCZYCE,2001,10,-1.4,17.8,50.183333
62,250180030,STARE OLESNO,2001,17,-2.0,18.033889,50.084444
63,250180120,KOCHCICE,2001,26,-1.6,18.683333,50.716667
64,250180270,ŚWIERKLANIEC,2001,35,-1.5,18.95,50.433333
65,250180380,SUKOWICE,2001,5,-0.9,18.166667,50.266667
66,250190030,SILNICZKA,2001,17,-0.8,19.766667,50.916667
67,250190160,LGOTA GÓRNA,2001,24,-2.0,19.233333,50.6
68,250190250,ZĄBKOWICE,2001,28,-1.7,19.283333,50.366667
69,250190290,OLEWIN,2001,20,-2.2,19.6025,50.2775
70,250190380,BIERUŃ STARY,2001,25,-1.2,19.1,50.083333
71,250190390,KRAKÓW-OBSERWATORIUM,2001,20,0.1,19.966667,50.066667
72,250190530,KATOWICE PYRZOWICE,2001,26,-1.3,19.076111,50.472778
73,250200040,BODZENTYN,2001,26,-1.8,20.95,50.95
74,250200120,SKRONIÓW,2001,10,-1.6,20.266667,50.633333
75,250200210,MIECHÓW,2001,4,-1.1,20.033333,50.366667
76,250200220,SIELEC,2001,10,-1.4,20.416667,50.316667
77,250200230,BORUSOWA,2001,15,-3.2,20.8,50.283333
78,250200280,IGOŁOMIA,2001,24,-1.4,20.266667,50.1
79,250210050,ŚWIĘTY KRZYŻ,2001,36,-4.5,21.05,50.85
80,250210130,STASZÓW,2001,23,-3.6,21.183333,50.6
81,250210180,CHORZELÓW,2001,29,-5.3,21.45,50.35
82,250210240,ZAWADA,2001,29,-7.1,21.483333,50.066667
83,250220030,WYSOKIE,2001,35,-5.6,22.666667,50.916667
84,250220120,JAROCIN,2001,30,-5.7,22.3,50.566667
85,250230070,TOMASZÓW LUBELSKI,2001,37,-4.7,23.4,50.45
86,250230120,NOWY LUBLINIEC,2001,26,-4.3,23.1,50.266667
87,250240010,STRZYŻÓW,2001,16,-4.1,24.033333,50.85
88,251150060,CEBER,2001,6,0.6,16.65,51.716667
89,251150080,GRABIK,2001,29,0.4,15.116667,51.65
90,251150180,TOMASZÓW BOLESŁAWIECKI,2001,15,0.6,15.683333,51.283333
91,251150250,ZGORZELEC,2001,27,-0.3,15.033333,51.133333
92,251160150,POLKOWICE DOLNE,2001,17,0.6,16.05,51.5
93,251160170,CHWAŁKOWICE,2001,13,1.0,16.613889,51.448889
94,251170030,WITASZYCE,2001,32,-0.1,17.55,51.95
95,251170090,SMOLICE,2001,40,0.8,17.183333,51.7
96,251170150,GRABOWNICA,2001,25,1.0,17.45,51.466667
97,251170290,NAMYSŁÓW,2001,10,0.5,17.733333,51.083333
98,251170320,JELCZ-LASKOWICE,2001,9,1.1,17.35,51.05
99,251180090,SIERADZ,2001,27,0.0,18.7,51.6
100,251190050,PUCZNIEW,2001,12,-0.5,19.083333,51.783333
101,251200030,SKIERNIEWICE,2001,21,-1.0,20.166667,51.966667
102,251200150,ŁAZISKA,2001,6,-3.0,20.916667,51.333333
103,251210040,JARCZEW,2001,22,-3.5,21.983333,51.816667
104,251210120,PUŁAWY,2001,13,-4.2,21.966667,51.416667
105,251220070,SOBIESZYN,2001,32,-3.9,22.15,51.616667
106,251230120,BEZEK,2001,19,-5.1,23.266667,51.183333
107,252150050,KRZYŻ,2001,25,0.9,15.983333,52.883333
108,252150120,GORZYŃ,2001,31,1.0,15.9,52.566667
109,252150180,LUBINICKO-ŚWIEBODZIN,2001,20,1.2,15.55,52.25
110,252160110,SZAMOTUŁY-BABORÓWKO,2001,10,0.1,16.633333,52.583333
111,252160160,PAPROĆ,2001,25,1.0,16.183333,52.3
112,252160230,WIELICHOWO,2001,15,0.4,16.35,52.116667
113,252170110,GNIEZNO,2001,25,0.4,17.566667,52.55
